Region,Country,CountryID,Industry,Edition,Category,ParentID,Subcategory,ProductID,Lowest Level,Modelled,Hierarchy Level,Data Type,DataTypeID,Unit,Unit Multiplier,Current/Constant,Currency Conversion,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Asia Pacific,Azerbaijan,163,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume,1,million litres,1000000,,Volume,,,,,,,,,,,,29.23869168,30.34030654,31.79742794,33.88597497,35.27098819,36.55524,37.9193472,39.44174317,41.21518105
Asia Pacific,Azerbaijan,163,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume (Tonnes),911,000 tonnes,1000,,Volume,13.3345537,13.79854844,14.34058168,15.00616547,16.04748967,16.8932647,17.89393205,19.47877606,20.24160428,20.77935481,21.01628937,21.44271897,22.24269925,23.29205671,24.80516113,25.81741804,26.75610496,27.74352303,28.8528046,30.14500512
Asia Pacific,Azerbaijan,163,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume,3,million litres,1000000,,Volume,19.57794251,20.29497688,21.1716512,22.17223655,23.82925011,25.15245584,26.70459748,29.08183243,30.29210002,31.1860649,31.68319649,32.46882659,33.82400705,35.59640334,38.05231129,39.834793,41.56492853,43.44302978,45.54762189,47.9994229
Asia Pacific,Azerbaijan,163,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume (Tonnes),913,000 tonnes,1000,,Volume,14.93170521,15.47971012,16.14783048,16.89745135,18.1488974,19.14177097,20.3106266,22.05521412,22.95330533,23.63748772,24.04019399,24.67285389,25.72639976,27.09103211,28.97149745,30.38122285,31.7657935,33.26720561,34.95868332,36.92924698
Asia Pacific,Azerbaijan,163,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Value RSP,410,USD million,1000000,"Historic Constant 2014 Prices, Forecast Constant 2014 Prices","Historic Fixed 2014 Exchange Rates, Forecast Fixed 2014 Exchange Rates",,,,,,,,,,,,291.8107615,322.067461,343.1120594,353.9009982,355.1947031,360.0047157,368.6867584,380.5527807,395.0366493
Asia Pacific,China,195,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume,1,million litres,1000000,,Volume,1485.432496,1607.273659,1735.438138,1873.973182,2075.235013,2262.018678,2475.539773,2627.668327,2761.400665,2721.831888,2847.082677,2984.165172,2905.342026,2933.889151,3005.509439,3069.339071,3126.563945,3189.66613,3253.885297,3307.052387
Asia Pacific,China,195,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume (Tonnes),911,000 tonnes,1000,,Volume,1156.620747,1250.799561,1349.642697,1456.487227,1611.014509,1754.241075,1917.505841,2034.154399,2136.728715,2105.541702,2202.080369,2307.703475,2246.740213,2269.596406,2326.098048,2376.110183,2420.43317,2468.486874,2516.706245,2555.051125
Asia Pacific,China,195,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume,3,million litres,1000000,,Volume,1487.181196,1609.221859,1737.597638,1876.423982,2078.034613,2265.110578,2479.042973,2631.620027,2765.664549,2726.198105,2851.706501,2989.015564,2910.410685,2939.160557,3010.965344,3074.958653,3132.324016,3195.541403,3259.848699,3313.075423
Asia Pacific,China,195,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume (Tonnes),913,000 tonnes,1000,,Volume,1158.369447,1252.747761,1351.802197,1458.938027,1613.814109,1757.332975,1921.009041,2038.106099,2140.992599,2109.90792,2206.704193,2312.553867,2251.808872,2274.867811,2331.553952,2381.729765,2426.193241,2474.362147,2522.669647,2561.074161
Asia Pacific,China,195,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Value RSP,410,USD million,1000000,"Historic Constant 2014 Prices, Forecast Constant 2014 Prices","Historic Fixed 2014 Exchange Rates, Forecast Fixed 2014 Exchange Rates",3263.993487,3497.220401,3781.66837,3978.263049,4203.466262,4472.165322,4781.868695,4997.793495,5130.231483,5088.670367,5260.920909,5477.98168,5497.833501,5617.095845,5867.056832,6073.451814,6274.253181,6495.483566,6727.898391,6949.242307
Asia Pacific,"Hong Kong, China",259,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume,1,million litres,1000000,,Volume,9.765106901,9.683958719,9.735932415,10.01215346,10.38201659,10.71765065,11.1002955,11.57945213,11.78671654,11.57899841,11.73599168,11.932907,12.21067524,12.4501537,12.6412136,12.78012074,12.8862493,13.01668564,13.13794604,13.24887483
Asia Pacific,"Hong Kong, China",259,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Retail Volume (Tonnes),911,000 tonnes,1000,,Volume,6.954413827,6.896404121,6.93140828,7.124449916,7.382796034,7.619667045,7.891634412,8.230859488,8.390082306,8.275108033,8.386738763,8.527428314,8.724715383,8.894910897,9.030800506,9.1292457,9.204151342,9.29682412,9.383250837,9.462376812
Asia Pacific,"Hong Kong, China",259,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume,3,million litres,1000000,,Volume,11.37435315,11.26219799,11.31691296,11.54360724,11.94705462,12.31862533,12.74696739,13.25846862,13.51051025,13.33488414,13.51387989,13.73649029,14.0461998,14.31776743,14.53657598,14.70059756,14.83025463,14.98256553,15.12398258,15.25329048
Asia Pacific,"Hong Kong, China",259,Packaged Food,2015,Ice Cream,160660,  Ice Cream,160660,no,no,1,Total Volume (Tonnes),913,000 tonnes,1000,,Volume,8.56366008,8.474643393,8.512388822,8.655903699,8.947834073,9.220641725,9.538306295,9.90987597,10.11387601,10.03099376,10.16462698,10.33101161,10.56023994,10.76252463,10.92616289,11.04972252,11.14815667,11.26270401,11.36928737,11.46679247
