Region,Country,CountryID,Industry,Edition,Category,ParentID,Subcategory,ProductID,Lowest Level,Modelled,Hierarchy Level,Data Type,DataTypeID,Unit,Unit Multiplier,Current/Constant,Currency Conversion,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Asia Pacific,Azerbaijan,163,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",,,,,,,,,,,,,,29702.98062,29495.05976,22829.17625,17555.5565,14105.05509,12438.36721,12594.47344,13325.72203,14653.78802,15737.63221,17483.61776,19214.89649,21027.49078,23174.61038,25319.4015,32398.76453,43566.16671,54658.28128,60447.40627,66111.31065,69166.53844,68050.16043,69522.0854,73556.45201,77204.85203,80763.99571,83572.15984,86264.85483,89705.09724,93497.82875,97338.71956,101337.3942,105500.3343,109834.288,114346.2806,119043.6258,123933.938,129025.1441,134325.497,139843.5885,145588.3631
Asia Pacific,China,195,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",324287.1505,362228.7471,389758.1319,420588.0001,442458.5761,482722.3065,535339.038,616710.5717,699966.4989,761563.5508,849904.9227,945944.179,984727.8903,1022531.594,1116389.769,1275374.836,1453468.178,1643596.351,1823159.252,2005639.261,2192103.543,2363811.014,2543933.413,2758412.439,2987360.672,3258672.768,3585354.713,3946937.736,4393336.394,4950279.648,5651338.252,6195844.693,6766729.823,7473650.087,8168699.546,8793850.122,9468778.119,10147354.36,10864533.27,11595732.6,12370847.06,13174616.8,13991905.47,14832867.34,15722550.21,16665980.77,17665918.83,18725879.39,19849430.7,21040396.89,22302820.55,23640990.06,25059449.64,26563016.43
Asia Pacific,"Hong Kong, China",259,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",44929.90188,48704.01364,54353.67922,59973.84965,65604.7944,67561.78541,71561.44311,78649.60405,79211.94872,87954.5715,99745.76135,108169.2909,110572.8125,114882.9408,121424.3754,128822.7626,136607.5222,144821.7325,148142.4948,154354.1096,162158.2534,152386.597,156281.5985,168707.5484,169546.5338,172667.8601,177858.2796,192916.8489,206579.4192,221080.8305,235373.3557,240381.8029,234470.3986,250382.9226,262366.6229,266306.019,274026.6753,281150.2297,290859.1367,301463.0158,312069.0605,322382.4281,333019.242,344009.3599,355361.5381,367088.5035,379202.4149,391716.0974,404642.7277,417995.9377,431789.8036,446038.8672,460758.1498,475963.1676
Asia Pacific,India,265,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",254198.8187,268179.7537,254770.766,264008.754,280313.9346,291728.3181,314392.6911,326405.6358,343554.9879,359966.6097,374239.2858,410271.0442,434669.8632,458720.1467,463568.8187,488981.6613,512213.1801,546321.4557,587699.8428,632071.1809,657670.0637,698340.3805,760115.5705,789311.6096,830489.1642,861773.4557,933911.1364,1011043.723,1104918.127,1207277.131,1325606.597,1377185.314,1493968.546,1647247.657,1756598.106,1839796.205,1932098.153,2035536.271,2172030.627,2312203.421,2467683.014,2633482.225,2812701.949,3003927.077,3208204.489,3426359.635,3659352.827,3908188.618,4173945.503,4457773.807,4760902.471,5084643.815,5430399.62,5799666.645
Asia Pacific,Indonesia,263,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",138042.3982,148809.7053,158184.7167,173813.3667,187030.1351,191230.832,199249.1408,213146.7683,218396.5732,231229.5559,242619.9238,256643.3554,275781.2504,295750.5707,316305.2354,336738.5536,363664.1684,391084.4466,423231.5882,456319.8337,477766.8659,415050.4094,418333.4582,435899.2801,451781.1241,472108.9046,494677.4529,519564.052,549140.6061,579348.5661,616108.3615,653159.2854,683393.4037,725731.8772,772592.2215,820984.8527,868447.8275,913849.3385,965542.6633,1018836.295,1074831.961,1133958.526,1196323.351,1262121.915,1331538.422,1404773.085,1482035.587,1563547.541,1649542.656,1740267.485,1835982.179,1936961.199,2043494.056,2155886.234
Asia Pacific,Japan,276,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",2164443.659,2279159.173,2404512.927,2481000.484,2584631.874,2671914.892,2753702.207,2876627.474,3058804.291,3145399.041,3274580.58,3508614.854,3697027.471,3903025.842,4032762.421,4065790.745,4072743.247,4169985.127,4248464.247,4360496.25,4428694.411,4337950.462,4329303.308,4427037.127,4442773.549,4455637.531,4530720.001,4637678.072,4698094.41,4777628.65,4882363.168,4831506.713,4564471.405,4776816.653,4755190.817,4824824.963,4898461.814,4961679.316,5024320.518,5080844.124,5135910.415,5197092.872,5254967.309,5317588.902,5381498.278,5446049.914,5511409.58,5577544.593,5644475.644,5712209.225,5780755.764,5850124.819,5920326.317,5991370.233
Asia Pacific,Kazakhstan,279,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",,,,,,,,,,,,,,121889.4426,108481.604,102732.0789,93280.72768,81546.01214,74859.23914,75233.53534,76512.50544,75058.76783,77085.35457,84639.71931,96066.08142,105480.5574,115290.2492,126358.1132,138614.8501,153444.7235,167166.1456,172712.0544,174790.1723,187541.9277,201542.7453,211827.4204,224414.8256,236904.8593,251363.7087,266417.0681,280868.0947,295948.1618,310829.2559,326352.5243,342675.0303,359807.4736,377798.1963,396688.0136,416522.439,437348.5526,459215.9792,482176.777,506285.6146,531599.8979
Asia Pacific,Malaysia,314,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",38645.60087,41234.85612,45069.69774,48424.68604,51786.32775,54862.95348,58291.88807,62816.50443,62266.23185,62984.1615,66378.37796,72975.06117,79586.60171,86754.96692,95037.46361,103482.4926,113723.1201,124198.1567,136406.8355,150050.2472,161038.4268,149187.609,158344.7444,172089.0682,172980.4896,182305.8678,192859.5545,205941.218,216188.8531,228262.2722,242640.4468,254304.1731,250454.8148,269050.7025,283009.9446,298894.5666,312904.7709,330851.8165,347843.4843,365265.1817,383175.5846,401582.1365,420855.6545,441057.375,462227.9548,484414.9394,507666.8444,532034.8555,557572.5352,584336.0211,612384.153,641778.5954,672583.9712,704868.0035
Asia Pacific,Pakistan,332,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",37034.14264,38811.78149,42188.40647,45785.39001,48912.99,52110.43216,55642.47725,58460.76872,62899.11028,66359.81933,70641.35488,76027.75818,79798.73499,83356.96058,87872.40714,94524.34836,96506.52394,100722.894,105821.4869,112804.6468,114725.7099,118734.2262,123702.0663,128533.869,131062.1302,135140.7837,141527.5371,152118.0427,165744.777,175387.8081,185099.031,194331.7707,195033.3084,200067.1181,207395.5766,214049.0859,221549.6677,230054.1879,237942.7592,246018.2545,254386.7783,263034.8832,271978.3494,281225.5378,290787.2264,300673.9863,310896.9041,321467.3981,332397.2896,343698.7974,355384.5566,367467.6315,379961.53,392880.224
Asia Pacific,Philippines,331,Countries & Consumers,2014,Economy and Finance,1632,  Total GDP,1634,no,no,1,Socio-economic indicators,173,USD million,1000000,"Historic Constant 2013 Prices, Forecast Constant 2013 Prices","Historic Fixed 2013 Exchange Rates, Forecast Fixed 2013 Exchange Rates",80006.95796,84167.31977,88880.68968,93457.15639,96656.19485,100154.1825,102032.0735,94559.24441,87649.80042,90644.7941,94553.39762,100938.5886,107201.828,110457.5475,109819.1029,110190.2914,112521.918,117459.3798,122955.3042,130143.2712,136891.1998,136101.3376,140295.9808,146484.4366,150723.6772,156218.9167,163983.5729,174966.5754,183325.8971,192937.6013,205703.6308,214246.0024,216706.2582,233245.8537,241732.9259,258205.865,276700.8679,296291.0178,315025.7106,334585.6569,354707.6383,376057.4911,398711.1944,422729.5567,448198.3079,475203.6877,503836.7505,534195.6783,566384.2164,600512.446,636697.2186,675062.4119,715739.3881,758867.4388
